Creditability,Balance of current account,Duration in months,Payment of previous credits,Purpose of credit,Amount of credit in DM,Value of savings or stocks,Has been employed by current employer for,Installment in % of available income,Marital Status/Sex,Further debtors/Guarantors,Living in current household for,Most valuable available assets,Age in years,Further running credits,Type of apartment,Number of previous credits at this bank,Occupation,Number of persons entitled to maintainance,Telephone,Foreign worker,NewVar
good,>=200 DM,36,no problems with current credits at this bank,other,10875,no savings,greater than 7 years,between 25 and 35,male:single,none,between 1 and 4 years,savings contract with a building society/Life insurance,45,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,0 to 2,yes,yes,1.159810999
bad,>=200 DM,48,no previous credits or paid back,retraining,3914,greater than 1000 DM,between 1 and 4 years,less than 20,male:divorced/living apart,none,between 1 and 4 years,no assets,38,at other banks,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,1.157891077
good,no running account,42,no previous credits or paid back,used car,7882,no savings,between 4 and 7 years,between 25 and 35,male:single,guarantor,greater than 7 years,car/other,45,no further running credits,owner,one,skilled worker/skilled employee/minor civil servant,0 to 2,no,yes,1.148326047
bad,>=200 DM,18,no previous credits or paid back,items of furniture,433,no savings,unemployed,between 20 and 25,female:divorced/living apart/married,co-applicant,greater than 7 years,no assets,22,no further running credits,free apartment,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,1.138762102
good,>=200 DM,12,paid back previous credits at this bank,items of furniture,717,no savings,greater than 7 years,less than 20,male:single,none,greater than 7 years,no assets,52,no further running credits,rented,4 or 5,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,1.120162818
good,>=200 DM,13,no previous credits or paid back,items of furniture,1409,less than 100 DM,unemployed,between 25 and 35,female:divorced/living apart/married,none,greater than 7 years,no assets,64,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,1.117433414
bad,no balance,6,problematic running accounts,repair,433,between 500 and 1000 DM,less than 1 year,less than 20,female:divorced/living apart/married,none,between 1 and 4 years,car/other,24,at other banks,free apartment,one,skilled worker/skilled employee/minor civil servant,0 to 2,no,yes,1.110562606
good,>=200 DM,24,no previous credits or paid back,items of furniture,1311,less than 100 DM,between 4 and 7 years,less than 20,male:married/widowed,none,between 4 and 7 years,car/other,26,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,1.107672423
good,>=200 DM,24,no previous credits or paid back,items of furniture,1278,no savings,greater than 7 years,less than 20,male:single,none,less than 1 year,no assets,36,no further running credits,rented,one,executive/self-employed/higher civil servant,3 and more,yes,yes,1.107337487
good,>=200 DM,24,no previous credits or paid back,used car,3972,no savings,between 4 and 7 years,between 25 and 35,female:divorced/living apart/married,none,greater than 7 years,car/other,25,no further running credits,free apartment,one,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,1.102741556
bad,no running account,6,paid back previous credits at this bank,used car,3384,no savings,between 1 and 4 years,greater than 35,male:divorced/living apart,none,greater than 7 years,no assets,44,no further running credits,free apartment,one,executive/self-employed/higher civil servant,3 and more,yes,yes,1.101305636
good,>=200 DM,6,no previous credits or paid back,items of furniture,1346,less than 100 DM,greater than 7 years,between 25 and 35,male:single,none,greater than 7 years,ownership of house or land,42,at other banks,owner,one,skilled worker/skilled employee/minor civil servant,0 to 2,yes,yes,1.086590871
good,no running account,24,no previous credits or paid back,new car,2964,greater than 1000 DM,greater than 7 years,less than 20,male:single,none,greater than 7 years,ownership of house or land,49,at other banks,owner,one,skilled worker/skilled employee/minor civil servant,0 to 2,yes,yes,1.080125512
good,no balance,24,paid back previous credits at this bank,items of furniture,1743,no savings,greater than 7 years,less than 20,male:single,none,between 1 and 4 years,car/other,48,no further running credits,rented,2 or 3,unskilled with permanant residence,3 and more,no,yes,1.074875557
good,>=200 DM,18,paid back previous credits at this bank,items of furniture,1582,between 500 and 1000 DM,greater than 7 years,less than 20,male:single,none,greater than 7 years,savings contract with a building society/Life insurance,46,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,1.073056955
bad,no balance,24,no previous credits or paid back,other,1355,no savings,less than 1 year,between 20 and 25,female:divorced/living apart/married,none,greater than 7 years,savings contract with a building society/Life insurance,25,no further running credits,rented,one,unskilled with permanant residence,3 and more,yes,yes,1.069485929
good,>=200 DM,24,paid back previous credits at this bank,used car,1585,no savings,between 4 and 7 years,less than 20,male:single,none,between 4 and 7 years,car/other,40,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,1.064259058
good,>=200 DM,12,no previous credits or paid back,other,640,no savings,between 1 and 4 years,less than 20,male:divorced/living apart,none,between 1 and 4 years,no assets,49,no further running credits,rented,one,unskilled with permanant residence,3 and more,no,yes,1.06196535
good,>=200 DM,6,paid back previous credits at this bank,items of furniture,1554,no savings,between 4 and 7 years,greater than 35,female:divorced/living apart/married,none,between 1 and 4 years,savings contract with a building society/Life insurance,24,no further running credits,free apartment,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,1.061450086
bad,>=200 DM,12,no problems with current credits at this bank,household appliances,1555,between 500 and 1000 DM,greater than 7 years,less than 20,male:single,none,greater than 7 years,ownership of house or land,55,no further running credits,owner,2 or 3,skilled worker/skilled employee/minor civil servant,0 to 2,no,yes,1.057368772
good,>=200 DM,24,paid back previous credits at this bank,retraining,4139,less than 100 DM,between 1 and 4 years,between 20 and 25,male:single,none,between 4 and 7 years,car/other,27,no further running credits,rented,2 or 3,unskilled with permanant residence,3 and more,yes,yes,1.0553448
bad,no balance,21,no previous credits or paid back,retraining,2767,less than 100 DM,greater than 7 years,less than 20,male:divorced/living apart,none,between 1 and 4 years,savings contract with a building society/Life insurance,61,no further running credits,free apartment,2 or 3,unskilled with permanant residence,3 and more,no,yes,1.0489367
good,>=200 DM,12,paid back previous credits at this bank,items of furniture,2331,greater than 1000 DM,greater than 7 years,greater than 35,male:single,co-applicant,greater than 7 years,no assets,49,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,1.037013571
good,>=200 DM,9,no previous credits or paid back,used car,1313,no savings,greater than 7 years,greater than 35,male:single,none,greater than 7 years,savings contract with a building society/Life insurance,20,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,1.030704751
good,no balance,26,no previous credits or paid back,new car,7966,no savings,less than 1 year,between 25 and 35,male:single,none,between 4 and 7 years,savings contract with a building society/Life insurance,30,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,1.02079212
good,no running account,24,paid back previous credits at this bank,new car,6615,no savings,unemployed,between 25 and 35,male:single,none,greater than 7 years,ownership of house or land,75,no further running credits,owner,2 or 3,executive/self-employed/higher civil servant,3 and more,yes,yes,1.010807602
bad,no running account,30,no previous credits or paid back,used car,6350,greater than 1000 DM,greater than 7 years,less than 20,male:single,none,greater than 7 years,car/other,31,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,1.009663484
bad,no balance,24,no previous credits or paid back,other,2718,no savings,between 1 and 4 years,between 20 and 25,female:divorced/living apart/married,none,greater than 7 years,car/other,20,no further running credits,free apartment,one,unskilled with permanant residence,3 and more,yes,yes,1.008819711
good,>=200 DM,4,paid back previous credits at this bank,items of furniture,1544,no savings,between 4 and 7 years,between 25 and 35,male:single,none,less than 1 year,no assets,42,no further running credits,rented,4 or 5,unskilled with permanant residence,0 to 2,no,yes,1.004335038
bad,no running account,24,no previous credits or paid back,other,1381,greater than 1000 DM,between 1 and 4 years,less than 20,female:divorced/living apart/married,none,between 1 and 4 years,car/other,35,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,1.003560989
